"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","G","A1","A2","Points","iSF","iFF","iCF","ixG","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","PEN±","FOW","FOL","FO±"
"David Pastrnak","2019-10-03","2019020010","20192020","BOS","DAL","0","R",16.78,27.97,0,0,0,0,0,3,3,0.09,1,1,1,0,4,0,0,0,0,0,0,0,0
"David Pastrnak","2019-10-05","2019020027","20192020","BOS","ARI","0","R",16.17,26.94,0,0,0,0,3,4,7,0.15,1,1,0,0,3,1,0,0,0,-1,0,0,0
"David Pastrnak","2019-10-08","2019020043","20192020","BOS","VGK","0","R",19.43,32.39,1,2,0,3,6,9,10,0.65,0,1,3,0,1,0,1,0,0,1,1,0,1
"David Pastrnak","2019-10-10","2019020056","20192020","BOS","COL","0","R",21.98,36.64,1,1,0,2,5,6,10,0.44,0,1,2,0,0,0,0,0,0,0,0,0,0
"David Pastrnak","2019-10-12","2019020064","20192020","BOS","N.J","1","R",16.12,26.86,0,1,0,1,2,4,5,0.32,0,5,3,0,1,0,0,0,0,0,0,1,-1
"David Pastrnak","2019-10-14","2019020078","20192020","BOS","ANA","1","R",16.22,27.03,4,0,0,4,5,5,6,0.68,0,1,0,0,1,1,0,0,0,-1,0,0,0
"David Pastrnak","2019-10-17","2019020098","20192020","BOS","T.B","1","R",21.57,33.18,2,1,0,3,4,5,7,0.55,0,1,0,0,3,0,1,0,0,1,1,1,0
"David Pastrnak","2019-10-19","2019020115","20192020","BOS","TOR","0","R",24.17,37.82,1,0,1,2,2,4,5,0.23,1,5,1,2,3,0,0,0,0,0,0,0,0
"David Pastrnak","2019-10-22","2019020133","20192020","BOS","TOR","1","R",18.17,30.28,1,1,0,2,5,6,7,0.56,0,1,1,1,1,0,0,0,0,0,0,1,-1
"David Pastrnak","2019-10-26","2019020162","20192020","BOS","STL","1","R",17.55,29.25,1,0,0,1,3,6,8,0.33,0,3,1,1,1,0,0,0,0,0,0,0,0
"David Pastrnak","2019-10-27","2019020174","20192020","BOS","NYR","0","R",16.03,26.72,0,3,2,5,2,4,4,0.29,1,0,1,1,1,1,1,0,0,0,0,1,-1
"David Pastrnak","2019-10-29","2019020179","20192020","BOS","S.J","1","R",14.97,24.94,1,0,0,1,3,4,7,0.28,0,1,2,1,0,0,1,0,0,1,0,0,0
"David Pastrnak","2019-11-02","2019020206","20192020","BOS","OTT","1","R",16.93,28.22,1,2,0,3,3,4,5,0.32,0,3,0,1,1,0,1,0,0,1,0,0,0
"David Pastrnak","2019-11-04","2019020220","20192020","BOS","PIT","1","R",20.57,34.28,1,1,0,2,5,7,10,0.38,1,1,0,3,3,0,0,0,0,0,0,0,0
"David Pastrnak","2019-11-05","2019020224","20192020","BOS","MTL","0","R",21.37,35.61,1,0,0,1,4,6,10,0.32,1,1,0,3,1,1,0,0,0,-1,0,0,0
"David Pastrnak","2019-11-08","2019020248","20192020","BOS","DET","0","R",23.63,39.39,0,0,0,0,5,7,10,0.38,0,0,0,1,4,2,1,0,0,-1,0,0,0
"David Pastrnak","2019-11-10","2019020267","20192020","BOS","PHI","1","R",21.97,33.79,0,0,0,0,4,7,9,0.39,0,3,1,1,3,1,1,0,0,0,0,0,0
