"season","game_id","game_date","session","event_index","game_period","game_seconds","event_type","event_description","event_detail","event_zone","event_team","event_player_1","event_player_2","event_player_3","event_length","coords_x","coords_y","num_on","num_off","players_on","players_off","home_on_1","home_on_2","home_on_3","home_on_4","home_on_5","home_on_6","home_on_7","away_on_1","away_on_2","away_on_3","away_on_4","away_on_5","away_on_6","away_on_7","home_goalie","away_goalie","home_team","away_team","home_skaters","away_skaters","home_score","away_score","game_score_state","game_strength_state","home_zone","pbp_distance","event_distance","event_angle","home_zonestart","face_index","pen_index","shift_index","pred_goal"
"20192020","2019020010","2019-10-03","R",13,1,69,"GOAL","BOS #18 RITCHIE(1), Snap, Off. Zone, 38 ft.Assist: #13 COYLE(1)","Snap","Off","BOS","BRETT.RITCHIE","CHARLIE.COYLE",NA,0,65,30,NA,NA,NA,NA,"ANDREJ.SEKERA","ANDREW.COGLIANO","BEN.BISHOP","BLAKE.COMEAU","MIRO.HEISKANEN","RADEK.FAKSA",NA,"BRANDON.CARLO","BRETT.RITCHIE","CHARLIE.COYLE","JAKE.DEBRUSK","TOREY.KRUG","TUUKKA.RASK",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",5,5,0,0,"0v0","5v5","Def",38,38.42,51.34,2,1,0,6,0.012861
"20192020","2019020010","2019-10-03","R",39,1,224,"MISS","BOS #13 COYLE, Wrist, Wide of Net, Def. Zone, 32 ft.","Wrist","Off","BOS","CHARLIE.COYLE",NA,NA,0,87,-32,NA,NA,NA,NA,"BEN.BISHOP","ESA.LINDELL","JAMIE.BENN","JOE.PAVELSKI","JOHN.KLINGBERG","TYLER.SEGUIN",NA,"BRANDON.CARLO","BRETT.RITCHIE","CHARLIE.COYLE","JAKE.DEBRUSK","TOREY.KRUG","TUUKKA.RASK",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",5,5,0,1,"0v1","5v5","Off",32,32.06,86.42,2,3,0,23,0.0139053
"20192020","2019020010","2019-10-03","R",60,1,318,"MISS","BOS #43 HEINEN, Wrist, Wide of Net, Off. Zone, 37 ft.","Wrist","Off","BOS","DANTON.HEINEN",NA,NA,8,59,22,NA,NA,NA,NA,"ANDREJ.SEKERA","BEN.BISHOP","JASON.DICKINSON","MATTIAS.JANMARK","MIRO.HEISKANEN",NA,NA,"BRETT.RITCHIE","CHARLIE.COYLE","CHARLIE.MCAVOY","DANTON.HEINEN","MATT.GRZELCYK","TUUKKA.RASK",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",4,5,0,1,"0v1","4v5","Def",37,37.2,36.25,1,5,1,32,0.0611666
"20192020","2019020010","2019-10-03","R",63,1,359,"GOAL","BOS #43 HEINEN(1), Wrist, Off. Zone, 33 ft.Assists: #48 GRZELCYK(1); #73 MCAVOY(1)","Wrist","Off","BOS","DANTON.HEINEN","MATT.GRZELCYK","CHARLIE.MCAVOY",0,62,20,NA,NA,NA,NA,"BEN.BISHOP","BLAKE.COMEAU","ESA.LINDELL","JOHN.KLINGBERG","ROOPE.HINTZ",NA,NA,"BRETT.RITCHIE","CHARLIE.COYLE","CHARLIE.MCAVOY","DANTON.HEINEN","MATT.GRZELCYK","TUUKKA.RASK",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",4,5,0,1,"0v1","4v5","Def",33,33.6,36.53,1,5,1,34,0.0492868
"20192020","2019020010","2019-10-03","R",80,1,450,"MISS","BOS #83 KUHLMAN, Tip-In, Wide of Net, Def. Zone, 15 ft.","Tip-In","Off","BOS","KARSON.KUHLMAN",NA,NA,0,77,-10,NA,NA,NA,NA,"BEN.BISHOP","BLAKE.COMEAU","MATTIAS.JANMARK","MIRO.HEISKANEN","RADEK.FAKSA","ROMAN.POLAK",NA,"CONNOR.CLIFTON","DANTON.HEINEN","KARSON.KUHLMAN","PAR.LINDHOLM","TOREY.KRUG","TUUKKA.RASK",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",5,5,0,2,"0v2","5v5","Off",15,15.62,39.81,2,6,1,47,0.0484026
"20192020","2019020010","2019-10-03","R",83,1,461,"SHOT","BOS ONGOAL - #37 BERGERON, Wrist, Off. Zone, 37 ft.","Wrist","Off","BOS","PATRICE.BERGERON",NA,NA,0,59,-22,NA,NA,NA,NA,"BEN.BISHOP","BLAKE.COMEAU","JOHN.KLINGBERG","MATTIAS.JANMARK","MIRO.HEISKANEN","RADEK.FAKSA",NA,"BRAD.MARCHAND","CONNOR.CLIFTON","DAVID.PASTRNAK","PATRICE.BERGERON","TOREY.KRUG","TUUKKA.RASK",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",5,5,0,2,"0v2","5v5","Def",37,37.2,36.25,2,6,1,49,0.0233712
"20192020","2019020010","2019-10-03","R",103,1,551,"SHOT","BOS ONGOAL - #42 BACKES, Tip-In, Off. Zone, 62 ft.","Tip-In","Off","BOS","DAVID.BACKES",NA,NA,10,31,23,NA,NA,NA,NA,"BEN.BISHOP","JAMIE.BENN","JOE.PAVELSKI","JOHN.KLINGBERG","MIRO.HEISKANEN","TYLER.SEGUIN",NA,"CHARLIE.MCAVOY","CHRIS.WAGNER","DAVID.BACKES","SEAN.KURALY","TUUKKA.RASK","ZDENO.CHARA",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",5,5,0,2,"0v2","5v5","Def",62,62.39,21.63,3,9,1,59,0.084882
"20192020","2019020010","2019-10-03","R",106,1,577,"SHOT","BOS ONGOAL - #33 CHARA, Wrist, Off. Zone, 57 ft.","Wrist","Off","BOS","ZDENO.CHARA",NA,NA,5,48,41,NA,NA,NA,NA,"ALEX.RADULOV","BEN.BISHOP","ESA.LINDELL","JASON.DICKINSON","ROMAN.POLAK","ROOPE.HINTZ",NA,"BRETT.RITCHIE","CHARLIE.COYLE","CHARLIE.MCAVOY","JAKE.DEBRUSK","TUUKKA.RASK","ZDENO.CHARA",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",5,5,0,2,"0v2","5v5","Def",57,57.98,45,3,9,1,61,0.00779902
"20192020","2019020010","2019-10-03","R",108,1,584,"MISS","BOS #73 MCAVOY, Slap, Wide of Net, Off. Zone, 61 ft.","Slap","Off","BOS","CHARLIE.MCAVOY",NA,NA,10,29,-14,NA,NA,NA,NA,"ALEX.RADULOV","BEN.BISHOP","ESA.LINDELL","JASON.DICKINSON","ROMAN.POLAK","ROOPE.HINTZ",NA,"BRETT.RITCHIE","CHARLIE.COYLE","CHARLIE.MCAVOY","JAKE.DEBRUSK","TUUKKA.RASK","ZDENO.CHARA",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",5,5,0,2,"0v2","5v5","Def",61,61.61,13.13,3,9,1,61,0.07549
"20192020","2019020010","2019-10-03","R",115,1,627,"BLOCK","BOS #43 HEINEN BLOCKED BY  DAL #37 DOWLING, Wrist, Def. Zone","Wrist","Off","BOS","DANTON.HEINEN","JUSTIN.DOWLING",NA,2,84,13,NA,NA,NA,NA,"ANDREJ.SEKERA","BEN.BISHOP","DENIS.GURIANOV","JAMIE.OLEKSIAK","JUSTIN.DOWLING","MATTIAS.JANMARK",NA,"CONNOR.CLIFTON","DANTON.HEINEN","KARSON.KUHLMAN","MATT.GRZELCYK","PAR.LINDHOLM","TUUKKA.RASK",NA,"BEN.BISHOP","TUUKKA.RASK","DAL","BOS",5,5,0,2,"0v2","5v5","Off",NA,13.93,68.96,3,9,1,65,NA
